TELEFONO;OPERADORA;MONTO;ESTABLECIMIENTO;EMPRESA;FECHA_HORA
995018306;Movistar;6.49;Spotify P27F90BB79;Spotify;9/5/2024
984456453;CLARO;19.99;APPLE.COM/BILL;APPLE;10/6/2024
994788838;CLARO;123.00;HUMALIWO;AMAZON;19/5/2024
984380692;Movistar;;;;2/4/2024
960535560;Movistar;59.51;CASA CABANA;CANVA;29/7/2024
998807099;Movistar;60.00;SEGAFREDO;ZARA;10/5/2024
983943071;Movistar;37.21;shein.co.uk;SHOPIFY;25/2/2024
995476639;Movistar;307.44;DELUXE DISCOTEC;UBER;14/1/2024
999814759;Movistar;6.33;UBR* PENDING.UBER.C;UBER;20/6/2024
981922446;Movistar;6.49;Spotify P27F90BDCE;Spotify;6/2/2024
939949221;CLARO;72.70;AMZN Mktp US;STARPLUS;31/1/2024
990081468;CLARO;12.99;PAYPAL *CANVAPTYLIM;PAYPAL;30/6/2024
979180073;CNT;8.73;UBER * PENDING;UBER;23/6/2024
999841940;Movistar;5.96;UBR* PENDING.UBER.C;UBER;20/8/2024
996016138;Movistar;12.90;APPLE.COM/BILL;APPLE;6/7/2024
993269612;CLARO;65.98;LA PORTENITA;Spotify;29/8/2024
992981310;Movistar;6.65;UBR* PENDING.UBER.C;UBER;18/4/2024
999020846;Movistar;262.06;AMZN Mktp US;STARPLUS;14/2/2024
962705179;CLARO;122.32;RISTORANTE LUCCA S ;SHOPIFY;4/2/2024
983943071;Movistar;54.94;shein.co.uk;SHOPIFY;7/7/2024
992666502;Movistar;60.00;CAMINO DEL SOL REAL;GOOGLE;13/3/2024
996466069;CLARO;;;;26/7/2024
978760144;Movistar;2.99;APPLE.COM/BILL;APPLE;17/6/2024
999059096;Movistar;35.00;FACEBK 5CXMNVTXL2;FACEBOOK;23/7/2024
988373405;CLARO;3.73;UBR* PENDING.UBER.C;UBER;15/4/2024
958922907;Movistar;5.98;UBR* PENDING.UBER.C;UBER;6/1/2024
996069291;Movistar;2.99;APPLE.COM/BILL;APPLE;30/8/2024
987021181;CNT;4.00;UBR* PENDING.UBER.C;UBER;4/6/2024
999185317;CLARO;3.20;UBR* PENDING.UBER.C;UBER;10/1/2024
992981310;Movistar;9.29;UBR* PENDING.UBER.C;UBER;30/1/2024
995568949;CLARO;3.31;UBER * PENDING;UBER;31/7/2024
987021247;CLARO;1.54;UBR* PENDING.UBER.C;UBER;19/1/2024
999204203;CNT;6.84;UBER * PENDING;UBER;7/7/2024
999828181;Movistar;12.99;APPLE.COM/BILL;APPLE;10/7/2024
988709462;CLARO;12.95;WMT PLUS Dec 2023;STARPLUS;3/4/2024
995398368;Movistar;56.00;ATTENZA DF ECUADOR ;ADOBE;22/6/2024
998607116;Movistar;13.97;UB *EATS ECUADOR;UBER;19/7/2024
969047084;Movistar;6.49;Spotify P27F90FB5A;Spotify;21/4/2024
963323163;Movistar;189.10;ACORDE BAR;STARPLUS;30/3/2024
963185377;Movistar;;;;9/2/2024
989401961;CLARO;;;;14/2/2024
997745354;CLARO;90.01;MARENOSTRUM CUMBAYA;MICROSOFT;18/5/2024
996448929;CLARO;4.99;APPLE.COM/BILL;APPLE;12/6/2024
994531013;CLARO;56.00;KATARI CUMBAYA;HOSTGATOR;5/4/2024
999950030;CLARO;38.26;PAYPAL *SOFTLOGISIM;PAYPAL;5/8/2024
995000828;Movistar;93.05;AliExpress.com;APPLE;31/5/2024
999422563;Movistar;10.42;UB *EATS ECUADOR;UBER;25/7/2024
983799614;Movistar;6.03;UBR* PENDING.UBER.C;UBER;29/1/2024
993874864;CLARO;113.00;PayPhone;PAYPAL;25/3/2024
981185883;CLARO;1.00;UBER *EATS;UBER;28/8/2024
983906325;Movistar;5.37;UBR* PENDING.UBER.C;UBER;17/5/2024
994264430;CLARO;53.39;QDF ARRIVAL;ZARA;25/1/2024
999576887;CLARO;210.66;AMZN Mktp US;STARPLUS;27/8/2024
995518137;CLARO;83.86;MARATHON SPORTS KS;ZARA;2/8/2024
987337516;CLARO;5.73;UBER * PENDING;UBER;12/2/2024
987021247;CLARO;1.54;UBR* PENDING.UBER.C;UBER;4/6/2024
984482386;Movistar;14.00;OF;MICROSOFT;30/8/2024
983813110;CLARO;210.13;Skrill5176;SKYPE;24/2/2024
988218924;CLARO;1576.00;INSURANCE FOR STUDE;HOSTGATOR;14/4/2024
982815194;CLARO;2.99;APPLE.COM/BILL;APPLE;13/3/2024
993581420;CLARO;67.40;AMZN Mktp US;STARPLUS;24/3/2024
984905181;Movistar;0.99;APPLE.COM/BILL;APPLE;22/2/2024
995160463;Movistar;47.99;APPLE.COM BILL;APPLE;24/4/2024
999849336;Movistar;2.99;APPLE.COM/BILL;APPLE;28/4/2024
968897509;CLARO;8.92;UB *EATS ECUADOR;UBER;13/6/2024
998003458;Movistar;0.99;APPLE.COM/BILL;APPLE;16/7/2024
963009314;Movistar;76.76;KATARI CUMBAYA;HOSTGATOR;5/7/2024
981977469;CLARO;13.99;GOOGLE*MIN TEAM;GOOGLE;2/3/2024
986230949;Movistar;3.93;UB *EATS ECUADOR;UBER;25/7/2024
995650444;Movistar;7.54;UBR* PENDING.UBER.C;UBER;29/1/2024
990040183;CLARO;7.17;UBER *TRIP;UBER;12/1/2024
963323163;Movistar;4.30;UBR* PENDING.UBER.C;UBER;22/4/2024
986011859;Movistar;14.99;PAYPAL *DISNEYPLUS;PAYPAL;15/1/2024
967442163;CLARO;81.46;AMAZON.COM AMZN.COM;AMAZON;7/2/2024
958851425;CLARO;72.80;KIT KAT KLUB;HOSTGATOR;10/4/2024
968295525;CLARO;100.00;Ecuabet- Fundacion ;UBER;14/6/2024
995521401;CLARO;2.36;UBER * PENDING;UBER;30/7/2024
999722000;CLARO;761.44;AIRBNB * HMPNXT5M24;AIRBNB;23/3/2024
996561052;Movistar;213.00;DUTY FREE GYE;GOOGLE;4/2/2024
993625359;CLARO;73.20;E/S SABANILLA;UBER;7/4/2024
999576887;CLARO;69.95;AMZN Mktp US;STARPLUS;5/8/2024
999828181;Movistar;2.99;APPLE.COM/BILL;APPLE;8/5/2024
999843621;CLARO;;;;7/8/2024
999843621;CLARO;203.04;TIPTI1 PMZ;AMAZON;26/1/2024
995096560;Movistar;50.75;AMZN MKTP US AMZN.C;STARPLUS;24/6/2024
997202644;Movistar;52.20;VIGESIMOCORTA;ZARA;10/6/2024
988980572;Movistar;15.13;Amazon Prime;AMAZON;9/2/2024
995399865;Movistar;0.99;APPLE.COM/BILL;APPLE;22/7/2024
981424549;CLARO;51.38;NOE SUSHIBAR N001;ADOBE;30/1/2024
991247423;CLARO;70.01;LA GUARDA WINE BAR;ZARA;4/1/2024
995490465;Movistar;9.99;APPLE.COM BILL;APPLE;1/2/2024
998426017;Movistar;7.99;Spotify;Spotify;27/4/2024
998162603;Movistar;71.60;DUTY FREE GYE;GOOGLE;17/6/2024
992720088;CLARO;51.40;NOE SUSHIBAR N001;ADOBE;19/5/2024
968295525;CLARO;100.00;Ecuabet- Fundacion ;UBER;3/7/2024
999021972;CLARO;1215.84;VIDAVENTURA GRILL;UBER;20/8/2024
986012506;Movistar;;;;1/5/2024
984964416;Movistar;306.31;WALMART.COM;AMAZON;15/6/2024
991258955;CLARO;77.00;Olimpo Bet;ADOBE;16/6/2024
969373295;CLARO;118.93;MARATHON SPORTS KS;ZARA;26/1/2024
984557967;Movistar;19.32;MICROSOFT*XBOX;MICROSOFT;12/8/2024
984338025;CLARO;487.77;COPA;PAYPAL;24/5/2024
983338203;CLARO;0.99;APPLE.COM BILL;APPLE;3/6/2024
984680031;Movistar;80.49;ILLUMI;GITHUB;6/5/2024
985416002;CLARO;29.95;UBER * EATS PENDING;UBER;25/5/2024
983799614;Movistar;11.34;UBR* PENDING.UBER.C;UBER;28/3/2024
998419336;Movistar;6.99;APPLE.COM/BILL;APPLE;22/1/2024
993294449;CLARO;9.99;APPLE.COM/BILL;APPLE;24/3/2024
995415831;Movistar;2.99;APPLE.COM/BILL;APPLE;21/5/2024
993989615;CLARO;2.99;APPLE.COM BILL;APPLE;29/4/2024
999243725;CLARO;137.33;PAYPAL *AIRBNB HMBK;PAYPAL;9/5/2024
984891132;Movistar;8.39;UBR* PENDING.UBER.C;UBER;19/7/2024
958652455;Movistar;8.59;UBER * PENDING;UBER;23/8/2024
982363771;Movistar;6.14;UBR* PENDING.UBER.C;UBER;25/8/2024
999960271;CLARO;9.99;APPLE.COM/BILL;APPLE;14/1/2024
983799614;Movistar;5.89;UBR* PENDING.UBER.C;UBER;14/2/2024
984433489;CLARO;7.31;UBR* PENDING.UBER.C;UBER;5/2/2024
939133501;CLARO;688.44;LACOSTE.COM/US;STARPLUS;5/6/2024
981982034;Movistar;33.60;eBay O*24-10938-091;FACEBOOK;15/7/2024
987836740;CLARO;29.99;APPLE.COM/BILL;APPLE;27/8/2024
998133535;CLARO;5.22;UBER * PENDING;UBER;7/8/2024
994737600;CLARO;214.23;ANDRES D C;ADOBE;3/2/2024
999099888;Movistar;543.92;Mol*Dandoy Sports S;SHOPIFY;9/3/2024
992512824;Movistar;145.00;VENTO ROOF TOP;MICROSOFT;27/4/2024
992668879;Movistar;6.24;UBER * PENDING;UBER;16/7/2024
995402887;Movistar;9.99;APPLE.COM/BILL;APPLE;2/7/2024
995402887;Movistar;1.99;APPLE.COM/BILL;APPLE;12/8/2024
991505006;CLARO;107.31;Amazon.com;AMAZON;8/7/2024
992800359;Movistar;724.20;AMZN Mktp US;STARPLUS;15/2/2024
985130154;CLARO;68.60;OPERACIONES CASA AS;CANVA;26/3/2024
996001674;CLARO;4.99;APPLE.COM/BILL;APPLE;16/3/2024
939240990;CLARO;300.00; Gasolinera PyS;PAYPAL;19/5/2024
990405505;Movistar;2.99;APPLE.COM/BILL;APPLE;28/2/2024
978986236;CNT;7.69;UBER * PENDING;UBER;4/5/2024
939133501;CLARO;688.44;LACOSTE.COM/US;STARPLUS;10/6/2024
987088555;Movistar;2.99;APPLE.COM/BILL;APPLE;18/4/2024
994259532;Movistar;9.99;SCRIBD *618202952;AIRBNB;11/5/2024
939240990;CLARO;200.00; Gasolinera PyS;PAYPAL;25/8/2024
968114185;CLARO;122.45;THE QUEEN VICTORIA;GITHUB;17/8/2024
995531747;CLARO;9.99;Spotify P27F91E242;Spotify;31/5/2024
983799614;Movistar;6.61;UBR* PENDING.UBER.C;UBER;16/7/2024
969491510;CLARO;87.14;SEGAFREDO;ZARA;1/6/2024
987023788;Movistar;109.52;TIPTI1 PMZ;AMAZON;5/4/2024
963323163;Movistar;9.55;UBER * PENDING;UBER;27/5/2024
983799614;Movistar;12.50;UBR* PENDING.UBER.C;UBER;11/2/2024
969322777;CLARO;186.47;LOST GRILL;HOSTGATOR;28/6/2024
958652455;Movistar;11.34;UBER * PENDING;UBER;1/8/2024
998119462;CLARO;154.00;DUTY FREE LAGARDERE;UBER;25/7/2024
979208391;CLARO;62.67;AMZN Mktp US;STARPLUS;27/8/2024
969280813;CLARO;3.74;UBR* PENDING.UBER.C;UBER;19/6/2024
999446017;CLARO;10.25;TheLotter;HOSTGATOR;25/7/2024
995810173;Movistar;7.63;UBR* PENDING.UBER.C;UBER;19/6/2024
939133501;CLARO;688.44;LACOSTE.COM/US;STARPLUS;5/5/2024
998867976;CLARO;173.00;ATTENZA DF ECUADOR ;ADOBE;16/4/2024
939133501;CLARO;688.44;LACOSTE.COM/US;STARPLUS;7/1/2024
995653252;CLARO;1.87;UBER * PENDING;UBER;14/6/2024
984093558;CLARO;7.74;Etsy.com*CraftyKook;MICROSOFT;1/7/2024
996002122;CLARO;200.39;HODEVALLES;APPLE;16/7/2024
992659033;CLARO;65.00;CAFE BAR KARAOKE CH;ZARA;7/6/2024
992077187;Movistar;1536.34;AMERICAN AIRLI AA S;SHOPIFY;10/2/2024
981919150;Movistar;12.24;UBR* PENDING.UBER.C;UBER;13/8/2024
994792710;CLARO;11.99;APPLE.COM/BILL;APPLE;7/1/2024
969280813;CLARO;6.90;UBR* PENDING.UBER.C;UBER;22/2/2024
998747455;Movistar;123.77;GROSS JARAMILLO NIC;ZARA;3/8/2024
960983963;CNT;;;;4/3/2024
987995896;CLARO;4.36;UBER * PENDING;UBER;29/2/2024
958846432;CLARO;16.63;UBER *EATS;UBER;31/3/2024
960983963;CNT;;;;27/1/2024
996371277;Movistar;190.15;LIBERTY SEGUROS S A;ZARA;20/8/2024
960983963;CNT;;;;28/2/2024
982212482;CLARO;15.13;Amazon Prime;AMAZON;4/8/2024
987158746;CLARO;115.41;AMZN Mktp US;STARPLUS;30/6/2024
992221666;CLARO;440.83;DOUBLETREE BY HILTO;UBER;16/1/2024
939732142;CLARO;636.80;CAS MIRAFLORES SCHE;CANVA;28/8/2024
984475825;CLARO;29.99;CENTR;UBER;30/7/2024
984576086;CLARO;9.32;UBER * PENDING;UBER;5/7/2024
986524613;CLARO;8.36;UB *EATS ECUADOR;UBER;25/5/2024
960983963;CNT;;;;22/1/2024
995430464;CLARO;69.78;GROSS JARAMILLO NIC;ZARA;21/3/2024
998587168;CNT;5.96;UBER * PENDING;UBER;10/5/2024
979092525;Movistar;67.31;HELLY HANSEN AUS;STARPLUS;6/3/2024
987265863;Movistar;1276.03;Iberia;UBER;18/2/2024
984891132;Movistar;12.09;UBR* PENDING.UBER.C;UBER;12/3/2024
987543650;CLARO;62.99;FROZEN GARDEN 8 CO ;ADOBE;12/1/2024
995909464;CLARO;20.76;UBR* PENDING.UBER.C;UBER;15/2/2024
987543650;CLARO;62.99;FROZEN GARDEN 8 CO ;ADOBE;9/7/2024
995476639;Movistar;85.40;DELUXE DISCOTEC;UBER;19/3/2024
987735448;Movistar;99.28;TONIKA RESTO BAR;STARPLUS;5/3/2024
999295580;Movistar;7.99;PAYPAL *SPOTIFY;PAYPAL;20/1/2024
991969720;CLARO;3.99;APPLE.COM/BILL;APPLE;5/8/2024
998419495;Movistar;55.00;COPA;PAYPAL;9/4/2024
986554131;CLARO;75.65;CASA CABANA;CANVA;22/3/2024
960135333;CNT;11.92;UBER * PENDING;UBER;15/2/2024
998216603;Movistar;4.99;APPLE.COM/BILL;APPLE;31/7/2024
983730331;CLARO;3.36;CCBill.com *OnlyFan;ZOOM;16/1/2024
962669662;Movistar;383.59;PY *BELLILLO PIZZER;ZARA;2/8/2024
998274126;Movistar;58.26;CASA FIRENZA;CANVA;23/4/2024
992755173;Movistar;245.29;KATARI CUMBAYA;HOSTGATOR;7/5/2024
992755173;Movistar;;;;2/1/2024
981230550;CLARO;16.35;PAYPAL *RIOTGAMESIN;PAYPAL;6/8/2024
939959524;CLARO;162.31;AMZN Mktp US;STARPLUS;15/6/2024
985649447;CLARO;100.00;Blackroos;FACEBOOK;19/8/2024
991455691;Movistar;129.00;ATTENZA DF ECUADOR ;ADOBE;23/5/2024
991455691;Movistar;;;;15/3/2024
998108731;Movistar;14.99;APPLE.COM/BILL;APPLE;30/8/2024
997282196;CLARO;10.47;UBER* PENDING;UBER;1/4/2024
960135333;CNT;13.59;UBER * PENDING;UBER;9/3/2024
992281457;CLARO;60.02;NATIVO PROGRESSIVE ;NETFLIX;28/6/2024
982457189;CLARO;15.38;UB *EATS ECUADOR;UBER;2/6/2024
959558838;CLARO;;;;4/2/2024
983515526;CLARO;1532.25;KATARIGROUP S A;ZARA;22/2/2024
985331907;CLARO;;;;23/7/2024
983029207;Movistar;5.26;UBER *TRIP;UBER;21/6/2024
987409822;Movistar;63.66;ALIPAYHan Ting Hote;HOSTGATOR;10/1/2024
997525604;CLARO;50.00;Ecuabet- Fundacion ;UBER;23/7/2024
939133501;CLARO;415.41;LACOSTE.COM/US;STARPLUS;2/4/2024
981977469;CLARO;13.99;GOOGLE*MIN TEAM;GOOGLE;8/4/2024
981919150;Movistar;14.51;UBER * PENDING;UBER;24/2/2024
984643690;Movistar;3.49;Spotify P27F929CC2;Spotify;21/3/2024
997105656;CLARO;57.63;HOTELES ESTELAR CAR;MICROSOFT;10/2/2024
996916712;CNT;50.00;GANCHOS BAR 8 RESTA;STARPLUS;26/1/2024
960983963;CNT;;;;5/4/2024
998511538;Movistar;12.00;UBR* PENDING.UBER.C;UBER;21/2/2024
998119462;CLARO;353.02;VEM*PANDORA;ADOBE;11/1/2024
993536143;Movistar;141.97;ZARA.COM?;ZARA;7/6/2024
996375548;CLARO;11.00;Nextory 75cc4eb5-;NETFLIX;15/1/2024
992747555;Movistar;0.99;APPLE.COM/BILL;APPLE;18/2/2024
961224595;Movistar;1.00;GOOGLE *TEMPORARY H;GOOGLE;8/7/2024
989891766;CLARO;4.99;PARAMOUNT+;ZARA;7/3/2024
992762222;Movistar;249.94;AMZN MKTP ES AMAZON;AMAZON;3/5/2024
985246717;Movistar;361.43;MICROSOFT#G03446269;MICROSOFT;22/4/2024
991475035;Movistar;0.99;APPLE.COM/BILL;APPLE;18/1/2024
979140858;CLARO;1.99;MICROSOFT*MICROSOFT;MICROSOFT;22/2/2024
963323163;Movistar;5.02;UBER * PENDING;UBER;21/2/2024
939133501;CLARO;415.41;LACOSTE.COM/US;STARPLUS;26/8/2024
984122153;Movistar;200.22;GASOLINERA REINA DE;LinkedIn;4/7/2024
987178743;CLARO;3.64;UBER * PENDING;UBER;26/2/2024
998511538;Movistar;13.77;UBR* PENDING.UBER.C;UBER;1/2/2024
999013283;CLARO;13.14;UBR* PENDING.UBER.C;UBER;30/4/2024
962617250;CLARO;3.50;UBR* PENDING.UBER.C;UBER;7/7/2024
984407408;CLARO;0.99;APPLE.COM/BILL;APPLE;4/5/2024
997329190;CLARO;2.01;Amazon Prime;AMAZON;21/7/2024
984955459;Movistar;10.00;Google ADS526896297;GOOGLE;5/5/2024
999534070;CLARO;0.99;APPLE.COM/BILL;APPLE;4/6/2024
989958362;Movistar;295.46;HOLIDAY INN EXPRESS;LinkedIn;9/3/2024
999500315;CLARO;55.00;CAFE BAR KARAOKE CH;ZARA;15/5/2024
987899425;Movistar;4.11;UBR* PENDING.UBER.C;UBER;8/6/2024
999191616;CLARO;2.99;APPLE.COM/BILL;APPLE;31/1/2024
999709561;CLARO;9.99;APPLE.COM/BILL;APPLE;30/8/2024
960846080;CNT;1.99;APPLE.COM BILL;APPLE;15/8/2024
992932695;Movistar;100.00;LOTERIA NACIONAL PA;PAYPAL;26/1/2024
992281457;CLARO;4.71;UBR* PENDING.UBER.C;UBER;19/5/2024
995810173;Movistar;5.73;UBR* PENDING.UBER.C;UBER;11/3/2024
980440211;CLARO;2.21;UBR* PENDING.UBER.C;UBER;13/1/2024
999889768;CLARO;6.68;UBER * PENDING;UBER;22/5/2024
984627895;Movistar;525.85;COPA;PAYPAL;30/7/2024
986313170;CLARO;100.00;Betano;UBER;3/2/2024
987268422;CLARO;38.03;12GO;HOSTGATOR;15/2/2024
991665509;Movistar;4.99;GOOGLE *Paramount P;GOOGLE;17/4/2024
986671480;CLARO;21.80;CHATGPT SUBSCRIPTIO;HOSTGATOR;10/5/2024
969062595;CLARO;9.99;APPLE.COM/BILL;APPLE;1/1/2024
998133535;CLARO;5.36;UBER *TRIP;UBER;31/3/2024
986567831;Movistar;662.23;IBERIA;UBER;19/6/2024
979118333;Movistar;56.00;SANTOS PUB;HOSTGATOR;17/5/2024
996694100;CLARO;3.05;UBR* PENDING.UBER.C;UBER;7/4/2024
999801993;Movistar;20.00;ATLASSIAN;AMAZON;26/1/2024
983395677;CLARO;150.00;W BAR RESTAURANTE M;AMAZON;23/4/2024
999444499;CLARO;119.82;STANZA PIANO BAR;STARPLUS;28/3/2024
994292949;CLARO;3.99;APPLE.COM/BILL;APPLE;15/1/2024
999128075;Movistar;24.98;TC2000.COM - TELECH;ZOOM;29/4/2024
993098916;CLARO;153.85;COSTANERA GRILL HOU;SHOPIFY;27/3/2024
997672840;CLARO;22.01;MEGA PRO;MICROSOFT;30/6/2024
998423516;Movistar;7.99;APPLE.COM BILL;APPLE;20/1/2024
989332612;CLARO;9.99;APPLE.COM/BILL;APPLE;5/1/2024
999719765;CLARO;3.10;UBR* PENDING.UBER.C;UBER;6/3/2024
995161527;Movistar;2.99;APPLE.COM/BILL;APPLE;20/1/2024
996756594;CNT;0.25;UBER *TRIP;UBER;27/8/2024
958786609;Movistar;2.30;UBR* PENDING.UBER.C;UBER;17/2/2024
991258955;CLARO;77.00;Olimpo Bet;ADOBE;13/5/2024
999179777;CLARO;2.97;UBER * PENDING;UBER;19/5/2024
984684308;Movistar;2.99;GOOGLE *Google Stor;GOOGLE;29/6/2024
987479543;CLARO;2.12;UBER * PENDING;UBER;27/2/2024
997860896;CLARO;80.00;EPHIMERO;UBER;10/4/2024
983884061;CLARO;2.79;UBR* PENDING.UBER.C;UBER;2/1/2024
997489121;CLARO;0.99;APPLE.COM/BILL;APPLE;24/8/2024
992520068;CNT;2.99;APPLE.COM/BILL;APPLE;3/8/2024
980246515;CLARO;15.40;UBER * PENDING;UBER;31/8/2024
983853355;Movistar;9.78;UBR* PENDING.UBER.C;UBER;16/5/2024
984627998;Movistar;4.68;UBER * PENDING;UBER;4/8/2024
999737482;Movistar;90.01;MARENOSTRUM CUMBAYA;MICROSOFT;5/6/2024
999737482;Movistar;;;;7/4/2024
989891766;CLARO;14.99;Disney Plus;STARPLUS;18/8/2024
999661625;CLARO;13.99;APPLE.COM/BILL;APPLE;27/4/2024
994353464;CLARO;8.99;APPLE.COM/BILL;APPLE;4/3/2024
987354112;CLARO;299.55;Columbia Sportswear;Spotify;16/5/2024
999414320;CLARO;58.00;SWISSOTEL;MICROSOFT;1/1/2024
999414320;CLARO;;;;2/2/2024
984013297;CLARO;71.58;KATARI CUMBAYA;HOSTGATOR;24/3/2024
939732142;CLARO;200.00;CASINO ATLANTIC CIT;GITHUB;6/6/2024
996815900;CLARO;4.03;UBER * PENDING;UBER;9/2/2024
995367985;CLARO;12.22;UBER * PENDING;UBER;1/8/2024
998456002;Movistar;83.00;SPIRIT AIR ONLINE S;AIRBNB;9/1/2024
995767332;Movistar;76.95;EL TOQUE;ADOBE;8/1/2024
987899425;Movistar;4.69;UBER *TRIP;UBER;29/7/2024
992281457;CLARO;3.10;UBR* PENDING.UBER.C;UBER;13/8/2024
998028785;Movistar;58.16;Hotel at Booking.co;HOSTGATOR;7/5/2024
987257613;Movistar;6.18;UBER * PENDING;UBER;5/5/2024
995552213;Movistar;2.99;APPLE.COM/BILL;APPLE;22/6/2024
988325025;CLARO;18.00;RIGHTNOW MEDIA;LinkedIn;11/6/2024
984058122;CLARO;8.00;RIGHTNOW MEDIA;LinkedIn;18/5/2024
992824727;CLARO;111.80;HOSTEL G;GOOGLE;3/1/2024
969657571;CLARO;6.49;APPLE.COM/BILL;APPLE;2/1/2024
990046956;CLARO;117.00;JETBLUE AIRWAYS;ZARA;27/4/2024
995663177;Movistar;81.00;DUTY FREE LAGARDERE;UBER;3/2/2024
980896468;CLARO;769.58;UEES PMZ;AMAZON;19/7/2024
984672414;CLARO;166.54;AMZN Mktp US;STARPLUS;17/6/2024
999790773;Movistar;108.58;ACORDE BAR;STARPLUS;29/3/2024
999770335;Movistar;;;;14/2/2024
980440211;CLARO;2.33;UBER *TRIP;UBER;8/6/2024
999179777;CLARO;3.37;UBER *TRIP;UBER;6/8/2024
999972950;Movistar;68.95;LA GUARDA WINE BAR;ZARA;21/2/2024
999777897;Movistar;620.74;Amazon.com;AMAZON;19/7/2024
984497796;Movistar;100.00;EPHIMERO;UBER;19/6/2024
990654636;CLARO;206.00;ATTENZA DF ECUADOR ;ADOBE;3/1/2024
984433489;CLARO;0.50;UBER *TRIP;UBER;19/7/2024
998925479;CLARO;9.99;Spotify P27F9404A0;Spotify;26/7/2024
969989669;CLARO;480.44;AIRBNB * HMAMSJRA8C;AIRBNB;13/3/2024
994110713;CLARO;4.99;APPLE.COM/BILL;APPLE;1/8/2024
999972950;Movistar;68.95;LA GUARDA WINE BAR;ZARA;31/7/2024
983521818;CNT;776.67;LATAM AIRLINES ECUA;AIRBNB;21/6/2024
984838463;Movistar;93.02;BIZI BIZI;LinkedIn;9/2/2024
999801152;CLARO;475.66;ATLASSIAN;AMAZON;16/7/2024
996161380;CLARO;6.77;UBER * PENDING;UBER;1/1/2024
999737482;Movistar;90.01;MARENOSTRUM CUMBAYA;MICROSOFT;22/2/2024
939268637;Movistar;3.97;UBER * PENDING;UBER;21/4/2024
993051792;CLARO;51.58;LATAM AIRLINES ECUA;AIRBNB;18/4/2024
999737482;Movistar;;;;10/5/2024
993273690;Movistar;6.40;UBR* PENDING.UBER.C;UBER;6/5/2024
998607116;Movistar;14.27;UB *EATS ECUADOR;UBER;24/8/2024
996001374;CNT;10.98;Iliad Italia;LinkedIn;5/8/2024
998637879;Movistar;9.99;Spotify P27F9433FA;Spotify;14/8/2024
995546680;Movistar;1.99;APPLE.COM/BILL;APPLE;24/5/2024
969204400;CLARO;6.99;APPLE.COM/BILL;APPLE;5/5/2024
999719765;CLARO;3.23;UBER *TRIP;UBER;16/7/2024
962902334;CLARO;9.49;APPLE.COM/BILL;APPLE;11/4/2024
999914145;CLARO;66.99;PAYPAL *DISNEYPLUS;PAYPAL;19/8/2024
990385200;CLARO;61.50;BIRRA BURGER CEIBOS;UBER;18/3/2024
